Skipping import of cpp extensions due to incompatible torch version 2.9.0+cu128 for torchao version 0.15.0             Please see https://github.com/pytorch/ao/issues/2919 for more info
Model: 1439M
BP gradients: 170 layers
ZO gradients: 170 layers, dd=-0.098705

Layer                                               cos_sim    bp_norm    zo_norm
--------------------------------------------------------------------------------
lm_head.weight                                       0.0001     3.3281     0.0984
model.embed_tokens.weight                           -0.0001     9.8423     0.0984
model.layers.0.mlp.down_proj.weight                  0.0001     6.0253     0.0988
model.layers.0.mlp.gate_proj.weight                  0.0003     5.8787     0.0988
model.layers.0.mlp.up_proj.weight                   -0.0002     5.8524     0.0989
model.layers.0.self_attn.k_proj.weight              -0.0002     3.2655     0.0987
model.layers.0.self_attn.o_proj.weight              -0.0005     8.5648     0.0987
model.layers.0.self_attn.q_proj.weight              -0.0006     3.2471     0.0987
model.layers.0.self_attn.v_proj.weight              -0.0003     8.6091     0.0987
model.layers.1.mlp.down_proj.weight                 -0.0002     3.0893     0.0988
model.layers.1.mlp.gate_proj.weight                 -0.0001     3.0147     0.0988
model.layers.1.mlp.up_proj.weight                   -0.0001     3.0804     0.0988
model.layers.1.self_attn.k_proj.weight               0.0005     0.4870     0.0986
model.layers.1.self_attn.o_proj.weight               0.0005     4.2050     0.0987
model.layers.1.self_attn.q_proj.weight               0.0002     0.4748     0.0987
model.layers.1.self_attn.v_proj.weight              -0.0003     4.2512     0.0988
model.layers.10.mlp.down_proj.weight                -0.0001     0.8366     0.0989
model.layers.10.mlp.gate_proj.weight                -0.0001     0.8110     0.0988
model.layers.10.mlp.up_proj.weight                   0.0003     0.8355     0.0989
model.layers.10.self_attn.k_proj.weight              0.0006     0.0852     0.0987
model.layers.10.self_attn.o_proj.weight             -0.0005     1.0076     0.0987
model.layers.10.self_attn.q_proj.weight             -0.0001     0.0833     0.0987
model.layers.10.self_attn.v_proj.weight              0.0009     1.0295     0.0988
model.layers.11.mlp.down_proj.weight                 0.0000     0.7834     0.0988
model.layers.11.mlp.gate_proj.weight                -0.0003     0.7584     0.0988
model.layers.11.mlp.up_proj.weight                  -0.0001     0.7919     0.0988
model.layers.11.self_attn.k_proj.weight             -0.0005     0.0730     0.0987
model.layers.11.self_attn.o_proj.weight             -0.0009     0.9562     0.0987
model.layers.11.self_attn.q_proj.weight             -0.0003     0.0742     0.0987
model.layers.11.self_attn.v_proj.weight             -0.0006     0.9589     0.0987
model.layers.12.mlp.down_proj.weight                -0.0001     0.7365     0.0989
model.layers.12.mlp.gate_proj.weight                 0.0005     0.7326     0.0988
model.layers.12.mlp.up_proj.weight                   0.0002     0.7371     0.0988
model.layers.12.self_attn.k_proj.weight              0.0002     0.0687     0.0987
model.layers.12.self_attn.o_proj.weight              0.0008     0.9008     0.0987
model.layers.12.self_attn.q_proj.weight             -0.0001     0.0716     0.0987
model.layers.12.self_attn.v_proj.weight             -0.0008     0.8835     0.0987
model.layers.13.mlp.down_proj.weight                 0.0002     0.7021     0.0989
model.layers.13.mlp.gate_proj.weight                -0.0001     0.6886     0.0988
model.layers.13.mlp.up_proj.weight                   0.0003     0.6958     0.0989
model.layers.13.self_attn.k_proj.weight             -0.0006     0.0681     0.0987
model.layers.13.self_attn.o_proj.weight             -0.0005     0.8360     0.0987
model.layers.13.self_attn.q_proj.weight             -0.0002     0.0688     0.0987
model.layers.13.self_attn.v_proj.weight              0.0001     0.8241     0.0987
model.layers.14.mlp.down_proj.weight                -0.0005     0.6552     0.0988
model.layers.14.mlp.gate_proj.weight                 0.0001     0.6528     0.0989
model.layers.14.mlp.up_proj.weight                  -0.0003     0.6633     0.0988
model.layers.14.self_attn.k_proj.weight              0.0003     0.0634     0.0987
model.layers.14.self_attn.o_proj.weight              0.0005     0.7852     0.0988
model.layers.14.self_attn.q_proj.weight             -0.0003     0.0637     0.0987
model.layers.14.self_attn.v_proj.weight             -0.0008     0.7746     0.0987
model.layers.15.mlp.down_proj.weight                -0.0004     0.6329     0.0989
model.layers.15.mlp.gate_proj.weight                 0.0001     0.6260     0.0988
model.layers.15.mlp.up_proj.weight                  -0.0002     0.6353     0.0988
model.layers.15.self_attn.k_proj.weight             -0.0002     0.0650     0.0987
model.layers.15.self_attn.o_proj.weight             -0.0001     0.7442     0.0987
model.layers.15.self_attn.q_proj.weight             -0.0004     0.0629     0.0987
model.layers.15.self_attn.v_proj.weight              0.0006     0.7424     0.0987
model.layers.16.mlp.down_proj.weight                 0.0002     0.5938     0.0989
model.layers.16.mlp.gate_proj.weight                -0.0002     0.5764     0.0988
model.layers.16.mlp.up_proj.weight                  -0.0001     0.6014     0.0989
model.layers.16.self_attn.k_proj.weight             -0.0005     0.0539     0.0988
model.layers.16.self_attn.o_proj.weight              0.0005     0.7187     0.0987
model.layers.16.self_attn.q_proj.weight             -0.0001     0.0540     0.0987
model.layers.16.self_attn.v_proj.weight              0.0005     0.7114     0.0988
model.layers.17.mlp.down_proj.weight                 0.0003     0.5595     0.0988
model.layers.17.mlp.gate_proj.weight                 0.0001     0.5652     0.0989
model.layers.17.mlp.up_proj.weight                   0.0002     0.5754     0.0988
model.layers.17.self_attn.k_proj.weight             -0.0008     0.0515     0.0987
model.layers.17.self_attn.o_proj.weight             -0.0006     0.6757     0.0987
model.layers.17.self_attn.q_proj.weight             -0.0001     0.0513     0.0988
model.layers.17.self_attn.v_proj.weight              0.0009     0.6851     0.0987
model.layers.18.mlp.down_proj.weight                 0.0006     0.5507     0.0988
model.layers.18.mlp.gate_proj.weight                -0.0004     0.5387     0.0989
model.layers.18.mlp.up_proj.weight                   0.0001     0.5433     0.0989
model.layers.18.self_attn.k_proj.weight             -0.0003     0.0520     0.0987
model.layers.18.self_attn.o_proj.weight              0.0000     0.6419     0.0987
model.layers.18.self_attn.q_proj.weight              0.0000     0.0538     0.0987
model.layers.18.self_attn.v_proj.weight              0.0006     0.6431     0.0987
model.layers.19.mlp.down_proj.weight                 0.0001     0.5301     0.0988
model.layers.19.mlp.gate_proj.weight                -0.0001     0.5144     0.0988
model.layers.19.mlp.up_proj.weight                   0.0004     0.5188     0.0988
model.layers.19.self_attn.k_proj.weight              0.0007     0.0496     0.0987
model.layers.19.self_attn.o_proj.weight              0.0001     0.6202     0.0988
model.layers.19.self_attn.q_proj.weight              0.0004     0.0500     0.0987
model.layers.19.self_attn.v_proj.weight             -0.0002     0.6285     0.0988
model.layers.2.mlp.down_proj.weight                  0.0002     2.2188     0.0988
model.layers.2.mlp.gate_proj.weight                  0.0005     2.1653     0.0988
model.layers.2.mlp.up_proj.weight                    0.0005     2.2401     0.0988
model.layers.2.self_attn.k_proj.weight              -0.0001     0.3026     0.0987
model.layers.2.self_attn.o_proj.weight               0.0004     2.9967     0.0987
model.layers.2.self_attn.q_proj.weight              -0.0002     0.2982     0.0986
model.layers.2.self_attn.v_proj.weight              -0.0012     2.9409     0.0987
model.layers.20.mlp.down_proj.weight                 0.0004     0.5091     0.0988
model.layers.20.mlp.gate_proj.weight                 0.0002     0.4977     0.0988
model.layers.20.mlp.up_proj.weight                   0.0000     0.5292     0.0988
model.layers.20.self_attn.k_proj.weight              0.0005     0.0472     0.0987
model.layers.20.self_attn.o_proj.weight              0.0005     0.6185     0.0987
model.layers.20.self_attn.q_proj.weight             -0.0004     0.0486     0.0988
model.layers.20.self_attn.v_proj.weight              0.0002     0.5929     0.0987
model.layers.21.mlp.down_proj.weight                -0.0000     0.5155     0.0988
model.layers.21.mlp.gate_proj.weight                -0.0000     0.4907     0.0988
model.layers.21.mlp.up_proj.weight                  -0.0001     0.4950     0.0988
model.layers.21.self_attn.k_proj.weight             -0.0009     0.0468     0.0987
model.layers.21.self_attn.o_proj.weight              0.0003     0.5909     0.0987
model.layers.21.self_attn.q_proj.weight             -0.0007     0.0459     0.0987
model.layers.21.self_attn.v_proj.weight              0.0000     0.5951     0.0987
model.layers.22.mlp.down_proj.weight                -0.0002     0.4936     0.0988
model.layers.22.mlp.gate_proj.weight                -0.0003     0.4754     0.0988
model.layers.22.mlp.up_proj.weight                   0.0005     0.4930     0.0988
model.layers.22.self_attn.k_proj.weight              0.0001     0.0417     0.0987
model.layers.22.self_attn.o_proj.weight             -0.0002     0.5614     0.0988
model.layers.22.self_attn.q_proj.weight             -0.0002     0.0418     0.0987
model.layers.22.self_attn.v_proj.weight             -0.0002     0.5600     0.0987
model.layers.23.mlp.down_proj.weight                -0.0005     0.4703     0.0988
